datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-02-16,Cyberia Crescent 1 Condo (Main Entrance)(11841),UNIKOP(12216),1,4.21,on-demand,11841,12216
2023-02-10,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),1,8.34,on-demand,11853,11798
2023-02-02,D'Pulze Cyberjaya Bus Stop(11806),Shaftsbusry Square Bus Stop(11808),2,2.65,on-demand,11806,11808
2023-02-26,The Arc Cyberjaya (Bus Stop)(11855),Mutiara Ville Residence-Persiaran Sepang(11853),1,1.41,on-demand,11855,11853
2023-02-23,Prima Avenue 1 Bus Stop(11818),The Arc Cyberjaya (Bus Stop)(11855),1,2.95,on-demand,11818,11855
2023-02-25,Cyberia Gate 2(11858),Putrajaya Central (Cyberjaya)(11798),1,7.97,on-demand,11858,11798
2023-02-04,Tamarind Square Bus Stop(11807),Putrajaya Central (Cyberjaya)(11798),1,7.84,on-demand,11807,11798
2023-02-20,Cyberia Gate 2(11858),Putrajaya Central (Cyberjaya)(11798),2,7.97,on-demand,11858,11798
2023-02-14,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,1.99,on-demand,11800,11806
2023-02-03,Gem In Mall(11800),Shaftsbusry Square Bus Stop(11808),1,4.03,on-demand,11800,11808
2023-02-08,University of Cyberjaya (UoC)(11829),The Arc Cyberjaya (Bus Stop)(11855),1,1.49,on-demand,11829,11855
2023-02-13,Putrajaya Central (Cyberjaya)(11798),Wisma Shell Bus Stop(12192),1,4.79,on-demand,11798,12192
2023-02-08,Putrajaya Central (Cyberjaya)(11798),McDonald's - Cyber 5 Bus Stop(12191),1,5.33,on-demand,11798,12191
2023-02-07,The Arc Cyberjaya (Bus Stop)(11855),D'Pulze Cyberjaya Bus Stop(11806),2,2.1,on-demand,11855,11806
2023-02-01,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),2,2.31,on-demand,11806,11855
2023-02-20,Cristal Serin Residence (Main Entrance)(11840),Star Central(11803),1,1.6,on-demand,11840,11803
2023-02-07,Futurise Center(11757),Cyberia Smart Homes Guard House Gate A(11857),1,4.03,on-demand,11757,11857
2023-02-14,CBD Perdana 1 (Saba Restaurant)(11819),Putrajaya Central (Cyberjaya)(11798),1,6.77,on-demand,11819,11798
2023-02-12,Shaftsbusry Square Bus Stop(11808),Garden Plaza(11863),2,4.67,on-demand,11808,11863
2023-02-13,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),2,3.2,on-demand,12216,11855
2023-02-28,Putrajaya Central (Cyberjaya)(11798),Star Grocer Cybersquare(11824),1,5.39,advanced booking,11798,11824
2023-02-08,Putrajaya Central (Cyberjaya)(11798),Shaftsbusry Square Bus Stop(11808),1,6.26,on-demand,11798,11808
2023-02-27,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,0.0,on-demand,11800,11806
