month,origin,destination,origin_label,destination_label,origin_line_code,destination_line_code,origin_line,destination_line,flow_type,ridership,origin_rank,destination_rank,ridership_k
2026-01,KJ03: Wangsa Maju,KJ16: Bank Rakyat Bangsar,Wangsa Maju,Bank Rakyat Bangsar,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,4966,14,15,4.966
2026-01,KJ03: Wangsa Maju,KJ17: Abdullah Hukum,Wangsa Maju,Abdullah Hukum,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,14386,14,6,14.386
2026-01,KJ03: Wangsa Maju,MR06: Bukit Bintang,Wangsa Maju,Bukit Bintang,KJ,MR,Kelana Jaya,Monorail,Inter-line,37,14,9,0.037
2026-01,KJ09: Ampang Park,AG07: Masjid Jamek,Ampang Park,Masjid Jamek,KJ,AG,Kelana Jaya,Ampang,Inter-line,3989,7,10,3.989
2026-01,KJ09: Ampang Park,KG09: Bandar Utama,Ampang Park,Bandar Utama,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,781,7,13,0.781
2026-01,KJ09: Ampang Park,KG15: Muzium Negara,Ampang Park,Muzium Negara,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,82,7,11,0.082
2026-01,KJ09: Ampang Park,KG18: Bukit Bintang,Ampang Park,Bukit Bintang,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,782,7,1,0.782
2026-01,KJ09: Ampang Park,KG20: Tun Razak Exchange,Ampang Park,Tun Razak Exchange,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,149,7,4,0.149
2026-01,KJ09: Ampang Park,KG21: Cochrane,Ampang Park,Cochrane,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,151,7,12,0.151
2026-01,KJ09: Ampang Park,KG22: Maluri,Ampang Park,Maluri,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,216,7,5,0.216
2026-01,KJ09: Ampang Park,KJ03: Wangsa Maju,Ampang Park,Wangsa Maju,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,46656,7,14,46.656
2026-01,KJ09: Ampang Park,KJ10: KLCC,Ampang Park,KLCC,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,65293,7,2,65.293
2026-01,KJ09: Ampang Park,KJ14: Pasar Seni,Ampang Park,Pasar Seni,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,8458,7,8,8.458
2026-01,KJ09: Ampang Park,KJ15: KL Sentral,Ampang Park,KL Sentral,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,18567,7,3,18.567
2026-01,KJ09: Ampang Park,KJ16: Bank Rakyat Bangsar,Ampang Park,Bank Rakyat Bangsar,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,8732,7,15,8.732
2026-01,KJ09: Ampang Park,KJ17: Abdullah Hukum,Ampang Park,Abdullah Hukum,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,18408,7,6,18.408
2026-01,KJ09: Ampang Park,MR06: Bukit Bintang,Ampang Park,Bukit Bintang,KJ,MR,Kelana Jaya,Monorail,Inter-line,23,7,9,0.023
2026-01,KJ10: KLCC,AG07: Masjid Jamek,KLCC,Masjid Jamek,KJ,AG,Kelana Jaya,Ampang,Inter-line,14886,2,10,14.886
2026-01,KJ10: KLCC,KG09: Bandar Utama,KLCC,Bandar Utama,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,4269,2,13,4.269
2026-01,KJ10: KLCC,KG15: Muzium Negara,KLCC,Muzium Negara,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,476,2,11,0.476
2026-01,KJ10: KLCC,KG18: Bukit Bintang,KLCC,Bukit Bintang,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,9380,2,1,9.38
2026-01,KJ10: KLCC,KG20: Tun Razak Exchange,KLCC,Tun Razak Exchange,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,2329,2,4,2.329
2026-01,KJ10: KLCC,KG21: Cochrane,KLCC,Cochrane,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,2603,2,12,2.603
2026-01,KJ10: KLCC,KG22: Maluri,KLCC,Maluri,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,3740,2,5,3.74
2026-01,KJ10: KLCC,KJ03: Wangsa Maju,KLCC,Wangsa Maju,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,36713,2,14,36.713
2026-01,KJ10: KLCC,KJ09: Ampang Park,KLCC,Ampang Park,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,74093,2,7,74.093
2026-01,KJ10: KLCC,KJ14: Pasar Seni,KLCC,Pasar Seni,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,30394,2,8,30.394
2026-01,KJ10: KLCC,KJ15: KL Sentral,KLCC,KL Sentral,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,48600,2,3,48.6
2026-01,KJ10: KLCC,KJ16: Bank Rakyat Bangsar,KLCC,Bank Rakyat Bangsar,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,10662,2,15,10.662
2026-01,KJ10: KLCC,KJ17: Abdullah Hukum,KLCC,Abdullah Hukum,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,12007,2,6,12.007
2026-01,KJ10: KLCC,MR06: Bukit Bintang,KLCC,Bukit Bintang,KJ,MR,Kelana Jaya,Monorail,Inter-line,333,2,9,0.333
2026-01,KJ14: Pasar Seni,AG07: Masjid Jamek,Pasar Seni,Masjid Jamek,KJ,AG,Kelana Jaya,Ampang,Inter-line,5877,8,10,5.877
2026-01,KJ14: Pasar Seni,KG09: Bandar Utama,Pasar Seni,Bandar Utama,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,6231,8,13,6.231
2026-01,KJ14: Pasar Seni,KG15: Muzium Negara,Pasar Seni,Muzium Negara,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,3754,8,11,3.754
2026-01,KJ14: Pasar Seni,KG18: Bukit Bintang,Pasar Seni,Bukit Bintang,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,38417,8,1,38.417
2026-01,KJ14: Pasar Seni,KG20: Tun Razak Exchange,Pasar Seni,Tun Razak Exchange,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,15913,8,4,15.913
2026-01,KJ14: Pasar Seni,KG21: Cochrane,Pasar Seni,Cochrane,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,9667,8,12,9.667
2026-01,KJ14: Pasar Seni,KG22: Maluri,Pasar Seni,Maluri,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,6484,8,5,6.484
2026-01,KJ14: Pasar Seni,KJ03: Wangsa Maju,Pasar Seni,Wangsa Maju,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,6696,8,14,6.696
2026-01,KJ14: Pasar Seni,KJ09: Ampang Park,Pasar Seni,Ampang Park,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,7163,8,7,7.163
2026-01,KJ14: Pasar Seni,KJ10: KLCC,Pasar Seni,KLCC,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,28934,8,2,28.934
2026-01,KJ14: Pasar Seni,KJ15: KL Sentral,Pasar Seni,KL Sentral,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,37814,8,3,37.814
2026-01,KJ14: Pasar Seni,KJ16: Bank Rakyat Bangsar,Pasar Seni,Bank Rakyat Bangsar,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,10525,8,15,10.525
2026-01,KJ14: Pasar Seni,KJ17: Abdullah Hukum,Pasar Seni,Abdullah Hukum,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,8624,8,6,8.624
2026-01,KJ14: Pasar Seni,MR06: Bukit Bintang,Pasar Seni,Bukit Bintang,KJ,MR,Kelana Jaya,Monorail,Inter-line,72,8,9,0.072
2026-01,KJ15: KL Sentral,AG07: Masjid Jamek,KL Sentral,Masjid Jamek,KJ,AG,Kelana Jaya,Ampang,Inter-line,18474,3,10,18.474
2026-01,KJ15: KL Sentral,KG09: Bandar Utama,KL Sentral,Bandar Utama,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,637,3,13,0.637
2026-01,KJ15: KL Sentral,KG15: Muzium Negara,KL Sentral,Muzium Negara,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,134,3,11,0.134
2026-01,KJ15: KL Sentral,KG18: Bukit Bintang,KL Sentral,Bukit Bintang,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,3879,3,1,3.879
2026-01,KJ15: KL Sentral,KG20: Tun Razak Exchange,KL Sentral,Tun Razak Exchange,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,2220,3,4,2.22
2026-01,KJ15: KL Sentral,KG21: Cochrane,KL Sentral,Cochrane,KJ,KG,Kelana Jaya,MRT Kajang,Inter-line,1378,3,12,1.378
