origin,destination,od_pair,fare_rm,time_min,route,transfer_count,transfer_group,fare_label,time_label
Masjid Jamek (KJL),Bandar Tun Hussein Onn,Masjid Jamek (KJL) → Bandar Tun Hussein Onn,4.2,30.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bandar Tun Hussein Onn],1,1+ transfer,RM 4.20,30 min
Masjid Jamek (KJL),Batu 11 Cheras,Masjid Jamek (KJL) → Batu 11 Cheras,4.4,32.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Batu 11 Cheras],1,1+ transfer,RM 4.40,32 min
Masjid Jamek (KJL),Bukit Dukung,Masjid Jamek (KJL) → Bukit Dukung,4.3,35.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bukit Dukung],1,1+ transfer,RM 4.30,35 min
Masjid Jamek (KJL),Sungai Jernih,Masjid Jamek (KJL) → Sungai Jernih,4.8,39.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sungai Jernih],1,1+ transfer,RM 4.80,39 min
Masjid Jamek (KJL),Stadium Kajang,Masjid Jamek (KJL) → Stadium Kajang,4.9,40.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Stadium Kajang],1,1+ transfer,RM 4.90,40 min
Masjid Jamek (KJL),Kajang,Masjid Jamek (KJL) → Kajang,4.5,43.0,KJL[Masjid Jamek (KJL) > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kajang],1,1+ transfer,RM 4.50,43 min
Pasar Seni (KJL),KL Sentral (KJL),Pasar Seni (KJL) → KL Sentral (KJL),1.2,3.0,KJL[Pasar Seni (KJL) > KL Sentral (KJL)],0,Direct journey,RM 1.20,3 min
Pasar Seni (KJL),Bangsar,Pasar Seni (KJL) → Bangsar,1.5,5.0,KJL[Pasar Seni (KJL) > Bangsar],0,Direct journey,RM 1.50,5 min
Pasar Seni (KJL),Abdullah Hukum,Pasar Seni (KJL) → Abdullah Hukum,1.8,8.0,KJL[Pasar Seni (KJL) > Abdullah Hukum],0,Direct journey,RM 1.80,8 min
Pasar Seni (KJL),Kerinchi,Pasar Seni (KJL) → Kerinchi,1.9,9.0,KJL[Pasar Seni (KJL) > Kerinchi],0,Direct journey,RM 1.90,9 min
Pasar Seni (KJL),Universiti,Pasar Seni (KJL) → Universiti,2.1,11.0,KJL[Pasar Seni (KJL) > Universiti],0,Direct journey,RM 2.10,11 min
Pasar Seni (KJL),Taman Jaya,Pasar Seni (KJL) → Taman Jaya,2.6,15.0,KJL[Pasar Seni (KJL) > Taman Jaya],0,Direct journey,RM 2.60,15 min
Pasar Seni (KJL),Asia Jaya,Pasar Seni (KJL) → Asia Jaya,2.8,17.0,KJL[Pasar Seni (KJL) > Asia Jaya],0,Direct journey,RM 2.80,17 min
Pasar Seni (KJL),Taman Paramount,Pasar Seni (KJL) → Taman Paramount,2.8,20.0,KJL[Pasar Seni (KJL) > Taman Paramount],0,Direct journey,RM 2.80,20 min
Pasar Seni (KJL),Taman Bahagia,Pasar Seni (KJL) → Taman Bahagia,3.1,23.0,KJL[Pasar Seni (KJL) > Taman Bahagia],0,Direct journey,RM 3.10,23 min
